year;investment_costs;operating_costs;lifetime;efficiency
2025;2150000;5;25;0,9
2030;2150000;5;25;0,9
2035;2150000;5;25;0,9
2040;2150000;5;25;0,9
2045;2150000;5;25;0,9
2050;2150000;5;25;0,9
