year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;1000000;0,052;20;0,3;0,89
2030;1000000;0,052;20;0,3;0,89
2035;1000000;0,052;20;0,3;0,89
2040;1000000;0,052;20;0,3;0,89
2045;1000000;0,052;20;0,3;0,89
2050;1000000;0,052;20;0,3;0,89
