year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;3296000;0,05;5;0,3;0,88
2030;3294000;0,05;5;0,3;0,88
2035;3292000;0,05;5;0,3;0,88
2040;3290000;0,05;5;0,3;0,88
2045;3288500;0,05;5;0,3;0,88
2050;3287000;0,05;5;0,3;0,88
