year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;850000;0,03;35;0,57;0,3945
2030;850000;0,03;35;0,59;0,389
2035;850000;0,03;35;0,6;0,3835
2040;850000;0,03;35;0,61;0,378
2045;850000;0,03;35;0,62;0,3725
2050;850000;0,03;35;0,63;0,367
