year;investment_costs;operating_costs;lifetime;efficiency
2025;35000;1;20;0,95
2030;35000;1;20;0,95
2035;35000;1;20;0,95
2040;35000;1;20;0,95
2045;35000;1;20;0,95
2050;35000;1;20;0,95
