year;investment_costs;operating_costs;lifetime;efficiency
2025;1300000;4;45;1
2030;1300000;4;45;1
2035;1300000;4;45;1
2040;1300000;4;45;1
2045;1300000;4;45;1
2050;1300000;4;45;1
