;investment_costs;operating_costs;lifetime;interest_rate;efficiency_in;efficiency_out;inverse_c_rate;balanced;initial_storage_level
2025;319000;1;15;5;100;90;4;true;0
2030;261000;1;15;5;100;90;4;true;0
2035;253000;1;15;5;100;90;4;true;0
2040;245000;1;15;5;100;90;4;true;0
2045;237000;1;15;5;100;90;4;true;0
2050;229000;1;15;5;100;90;4;true;0
