year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;loss_rate;balanced;initial_storage_level;interest_rate;inverse_c_rate;nonconvex_investment;non_convex_flow
2025;9000;1,5;70;85,5;100;0,002094;1;0;5;8;false;false
2030;9000;1,5;70;85,5;100;0,002094;1;0;5;8;false;false
2035;9000;1,5;70;85,5;100;0,002094;1;0;5;8;false;false
2040;9000;1,5;70;85,5;100;0,002094;1;0;5;8;false;false
2045;9000;1,5;70;85,5;100;0,002094;1;0;5;8;false;false
2050;9000;1,5;70;85,5;100;0,002094;1;0;5;8;false;false
