"";investment_costs;operating_costs;lifetime;interest_rate;efficiency_in;efficiency_out;balanced;initial_storage_level;nonconvex_investment;non_convex_flow
2025;94000;0,5;20;5;90;90;1;0,5;false;false
2030;94000;0,5;20;5;90;90;1;0,5;false;false
2035;94000;0,5;20;5;90;90;1;0,5;false;false
2040;94000;0,5;20;5;90;90;1;0,5;false;false
2045;94000;0,5;20;5;90;90;1;0,5;false;false
2050;94000;0,5;20;5;90;90;1;0,5;false;false
