year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;loss_rate;balanced;initial_storage_level;interest_rate;nonconvex_investment;non_convex_flow
2025;850000;1,5;70;85,5;100;0,002094;1;0;5;false;false
2030;850000;1,5;70;85,5;100;0,002094;1;0;5;false;false
2035;850000;1,5;70;85,5;100;0,002094;1;0;5;false;false
2040;850000;1,5;70;85,5;100;0,002094;1;0;5;false;false
2045;850000;1,5;70;85,5;100;0,002094;1;0;5;false;false
2050;850000;1,5;70;85,5;100;0,002094;1;0;5;false;false
