year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;loss_rate;balanced;initial_storage_level;interest_rate
2025;95000;2;20;0,8;0,8;0,002094;1;0,5;5
2030;95000;2;20;0,8;0,8;0,002094;1;0,5;5
2035;95000;2;20;0,8;0,8;0,002094;1;0,5;5
2040;95000;2;20;0,8;0,8;0,002094;1;0,5;5
2045;95000;2;20;0,8;0,8;0,002094;1;0,5;5
2050;95000;2;20;0,8;0,8;0,002094;1;0,5;5
