year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;inverse_c_rate;loss_rate;balanced;initial_storage_level;interest_rate;nonconvex_investment;non_convex_flow
2025;450;1;40;100;95;316,4;0,0000113;1;0;5;false;false
2030;450;1;40;100;95;316,4;0,0000113;1;0;5;false;false
2035;450;1;40;100;95;316,4;0,0000113;1;0;5;false;false
2040;450;1;40;100;95;316,4;0,0000113;1;0;5;false;false
2045;450;1;40;100;95;316,4;0,0000113;1;0;5;false;false
2050;450;1;40;100;95;316,4;0,0000113;1;0;5;false;false
