year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;inverse_c_rate;loss_rate;balanced;initial_storage_level;interest_rate;nonconvex_investment;non_convex_flow
2025;18,2;5;20;100;95;800;0,001;1;0,5;5;false;false
2030;18,2;5;20;100;95;800;0,001;1;0,5;5;false;false
2035;18,2;5;20;100;95;800;0,001;1;0,5;5;false;false
2040;18,2;5;20;100;95;800;0,001;1;0,5;5;false;false
2045;18,2;5;20;100;95;800;0,001;1;0,5;5;false;false
2050;18,2;5;20;100;95;800;0,001;1;0,5;5;false;false
