year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;inverse_c_rate;loss_rate;balanced;initial_storage_level;interest_rate;nonconvex_investment;non_convex_flow
2025;4000;1;20;100;96,5;24;0,002094;1;0,5;5;false;false
2030;4000;1;20;100;96,5;24;0,002094;1;0,5;5;false;false
2035;4000;1;20;100;96,5;24;0,002094;1;0,5;5;false;false
2040;4000;1;20;100;96,5;24;0,002094;1;0,5;5;false;false
2045;4000;1;20;100;96,5;24;0,002094;1;0,5;5;false;false
2050;4000;1;20;100;96,5;24;0,002094;1;0,5;5;false;false
