year;investment_costs;operating_costs;lifetime;efficiency
2025;861500;2;25,5;1
2030;734000;2;25,5;1
2035;660500;2;27;1
2040;597000;2;27;1
2045;576000;2;29;1
2050;560500;2;29;1
