year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;2127716,667;5;10;0,55;0,41
2030;1928433,334;5;10;0,55;0,41
2035;1729150;5;10;0,55;0,41
2040;1529866,667;5;10;0,55;0,41
2045;1330583,334;5;10;0,55;0,41
2050;1131,3;5;10;0,55;0,41
