index;2025;2030;2035;2040;2045;2050
72;1,69E-04;1,69E-04;1,69E-04;1,69E-04;1,69E-04;1,69E-04
73;1,72E-04;1,72E-04;1,72E-04;1,72E-04;1,72E-04;1,71E-04
74;1,75E-04;1,75E-04;1,75E-04;1,74E-04;1,74E-04;1,74E-04
75;1,78E-04;1,78E-04;1,77E-04;1,77E-04;1,77E-04;1,77E-04
76;1,78E-04;1,78E-04;1,77E-04;1,77E-04;1,77E-04;1,77E-04
77;1,79E-04;1,79E-04;1,79E-04;1,79E-04;1,79E-04;1,79E-04
78;1,81E-04;1,81E-04;1,81E-04;1,80E-04;1,80E-04;1,80E-04
79;1,84E-04;1,84E-04;1,84E-04;1,83E-04;1,83E-04;1,83E-04
80;1,87E-04;1,87E-04;1,86E-04;1,86E-04;1,86E-04;1,86E-04
81;1,90E-04;1,90E-04;1,90E-04;1,89E-04;1,89E-04;1,89E-04
82;1,86E-04;1,86E-04;1,86E-04;1,86E-04;1,86E-04;1,85E-04
83;1,77E-04;1,77E-04;1,77E-04;1,77E-04;1,76E-04;1,76E-04
84;1,72E-04;1,71E-04;1,71E-04;1,71E-04;1,71E-04;1,71E-04
85;1,73E-04;1,73E-04;1,73E-04;1,73E-04;1,73E-04;1,72E-04
86;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,77E-04
87;1,80E-04;1,80E-04;1,80E-04;1,80E-04;1,79E-04;1,79E-04
88;1,74E-04;1,74E-04;1,74E-04;1,74E-04;1,74E-04;1,73E-04
89;1,74E-04;1,74E-04;1,74E-04;1,74E-04;1,74E-04;1,73E-04
90;1,76E-04;1,76E-04;1,75E-04;1,75E-04;1,75E-04;1,75E-04
91;1,78E-04;1,77E-04;1,77E-04;1,77E-04;1,77E-04;1,77E-04
92;1,80E-04;1,79E-04;1,79E-04;1,79E-04;1,79E-04;1,79E-04
93;1,82E-04;1,82E-04;1,81E-04;1,81E-04;1,81E-04;1,81E-04
94;1,85E-04;1,85E-04;1,85E-04;1,84E-04;1,84E-04;1,84E-04
95;1,87E-04;1,86E-04;1,86E-04;1,86E-04;1,86E-04;1,86E-04
96;1,90E-04;1,90E-04;1,90E-04;1,89E-04;1,89E-04;1,89E-04
97;1,91E-04;1,91E-04;1,90E-04;1,90E-04;1,90E-04;1,90E-04
98;1,93E-04;1,93E-04;1,93E-04;1,93E-04;1,92E-04;1,92E-04
99;1,95E-04;1,95E-04;1,95E-04;1,94E-04;1,94E-04;1,94E-04
100;1,97E-04;1,96E-04;1,96E-04;1,96E-04;1,96E-04;1,96E-04
101;1,97E-04;1,97E-04;1,97E-04;1,97E-04;1,97E-04;1,96E-04
102;1,99E-04;1,99E-04;1,98E-04;1,98E-04;1,98E-04;1,98E-04
103;1,99E-04;1,99E-04;1,99E-04;1,99E-04;1,99E-04;1,98E-04
104;1,99E-04;1,99E-04;1,99E-04;1,98E-04;1,98E-04;1,98E-04
105;1,91E-04;1,91E-04;1,91E-04;1,90E-04;1,90E-04;1,90E-04
106;1,84E-04;1,84E-04;1,84E-04;1,84E-04;1,83E-04;1,83E-04
107;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04;1,78E-04
108;1,74E-04;1,74E-04;1,74E-04;1,74E-04;1,73E-04;1,73E-04
109;1,72E-04;1,71E-04;1,71E-04;1,71E-04;1,71E-04;1,71E-04
110;1,72E-04;1,72E-04;1,72E-04;1,71E-04;1,71E-04;1,71E-04
111;1,75E-04;1,74E-04;1,74E-04;1,74E-04;1,74E-04;1,74E-04
112;1,78E-04;1,78E-04;1,77E-04;1,77E-04;1,77E-04;1,77E-04
113;1,80E-04;1,80E-04;1,79E-04;1,79E-04;1,79E-04;1,79E-04
114;1,83E-04;1,83E-04;1,82E-04;1,82E-04;1,82E-04;1,82E-04
115;1,85E-04;1,85E-04;1,85E-04;1,85E-04;1,84E-04;1,84E-04
116;1,88E-04;1,88E-04;1,88E-04;1,88E-04;1,88E-04;1,87E-04
117;1,91E-04;1,91E-04;1,91E-04;1,91E-04;1,90E-04;1,90E-04
118;1,95E-04;1,95E-04;1,94E-04;1,94E-04;1,94E-04;1,94E-04
119;1,99E-04;1,98E-04;1,98E-04;1,98E-04;1,98E-04;1,97E-04
120;2,02E-04;2,02E-04;2,02E-04;2,02E-04;2,01E-04;2,01E-04
121;2,06E-04;2,06E-04;2,06E-04;2,06E-04;2,05E-04;2,05E-04
122;2,10E-04;2,10E-04;2,10E-04;2,10E-04;2,09E-04;2,09E-04
123;2,13E-04;2,12E-04;2,12E-04;2,12E-04;2,12E-04;2,11E-04
124;2,16E-04;2,16E-04;2,15E-04;2,15E-04;2,15E-04;2,14E-04
125;2,18E-04;2,18E-04;2,17E-04;2,17E-04;2,17E-04;2,17E-04
126;2,20E-04;2,20E-04;2,19E-04;2,19E-04;2,19E-04;2,18E-04
127;2,22E-04;2,22E-04;2,21E-04;2,21E-04;2,21E-04;2,20E-04
128;2,22E-04;2,22E-04;2,21E-04;2,21E-04;2,21E-04;2,20E-04
129;2,11E-04;2,11E-04;2,11E-04;2,11E-04;2,10E-04;2,10E-04
130;1,99E-04;1,99E-04;1,99E-04;1,99E-04;1,99E-04;1,98E-04
131;1,87E-04;1,87E-04;1,87E-04;1,86E-04;1,86E-04;1,86E-04
132;1,78E-04;1,78E-04;1,78E-04;1,77E-04;1,77E-04;1,77E-04
133;1,72E-04;1,72E-04;1,72E-04;1,72E-04;1,71E-04;1,71E-04
134;1,71E-04;1,71E-04;1,71E-04;1,71E-04;1,70E-04;1,70E-04
135;1,74E-04;1,74E-04;1,74E-04;1,73E-04;1,73E-04;1,73E-04
136;1,80E-04;1,80E-04;1,80E-04;1,80E-04;1,80E-04;1,79E-04
137;1,83E-04;1,83E-04;1,83E-04;1,83E-04;1,82E-04;1,82E-04
138;1,87E-04;1,87E-04;1,87E-04;1,87E-04;1,86E-04;1,86E-04
139;1,91E-04;1,91E-04;1,90E-04;1,90E-04;1,90E-04;1,90E-04
140;1,94E-04;1,94E-04;1,94E-04;1,94E-04;1,94E-04;1,93E-04
141;1,98E-04;1,98E-04;1,98E-04;1,98E-04;1,97E-04;1,97E-04
142;2,03E-04;2,03E-04;2,03E-04;2,02E-04;2,02E-04;2,02E-04
143;2,07E-04;2,07E-04;2,07E-04;2,06E-04;2,06E-04;2,06E-04
144;2,11E-04;2,11E-04;2,11E-04;2,11E-04;2,10E-04;2,10E-04
145;2,16E-04;2,16E-04;2,16E-04;2,16E-04;2,15E-04;2,15E-04
146;2,21E-04;2,21E-04;2,20E-04;2,20E-04;2,20E-04;2,19E-04
147;2,24E-04;2,24E-04;2,24E-04;2,23E-04;2,23E-04;2,23E-04
148;2,28E-04;2,27E-04;2,27E-04;2,27E-04;2,26E-04;2,26E-04
149;2,31E-04;2,31E-04;2,30E-04;2,30E-04;2,30E-04;2,29E-04
150;2,33E-04;2,33E-04;2,33E-04;2,32E-04;2,32E-04;2,32E-04
151;2,38E-04;2,37E-04;2,37E-04;2,37E-04;2,36E-04;2,36E-04
152;2,40E-04;2,40E-04;2,39E-04;2,39E-04;2,39E-04;2,38E-04
153;2,36E-04;2,36E-04;2,35E-04;2,35E-04;2,35E-04;2,34E-04
154;2,25E-04;2,25E-04;2,25E-04;2,24E-04;2,24E-04;2,24E-04
155;2,05E-04;2,05E-04;2,05E-04;2,04E-04;2,04E-04;2,04E-04
156;1,94E-04;1,94E-04;1,94E-04;1,93E-04;1,93E-04;1,93E-04
157;1,91E-04;1,91E-04;1,91E-04;1,90E-04;1,90E-04;1,90E-04
158;1,95E-04;1,95E-04;1,95E-04;1,94E-04;1,94E-04;1,94E-04
