index;2025;2030;2035;2040;2045;2050
7885;9,39E-05;1,05E-04;1,22E-04;1,19E-04;1,23E-04;1,23E-04
7886;1,11E-04;1,26E-04;1,79E-04;1,74E-04;1,76E-04;1,76E-04
7887;1,30E-04;1,38E-04;2,28E-04;2,13E-04;2,15E-04;2,15E-04
7888;1,42E-04;1,34E-04;2,15E-04;2,10E-04;2,10E-04;2,10E-04
7889;1,05E-04;9,94E-05;1,47E-04;1,32E-04;1,30E-04;1,30E-04
7890;1,14E-04;1,12E-04;1,42E-04;1,36E-04;1,38E-04;1,38E-04
7891;2,33E-04;2,25E-04;2,17E-04;2,06E-04;2,07E-04;2,07E-04
7892;2,88E-04;2,72E-04;2,27E-04;2,30E-04;2,32E-04;2,32E-04
7893;2,39E-04;2,18E-04;1,80E-04;1,81E-04;1,84E-04;1,84E-04
7894;2,06E-04;1,97E-04;1,56E-04;1,54E-04;1,57E-04;1,57E-04
7895;1,64E-04;1,81E-04;1,41E-04;1,44E-04;1,42E-04;1,42E-04
7896;3,54E-05;3,57E-05;3,47E-05;8,71E-05;8,58E-05;8,58E-05
7897;3,63E-05;3,60E-05;3,60E-05;3,63E-05;3,62E-05;3,62E-05
7898;3,70E-05;3,78E-05;3,72E-05;3,71E-05;3,70E-05;3,70E-05
7899;3,83E-05;3,83E-05;3,84E-05;3,85E-05;3,80E-05;3,80E-05
7900;4,08E-05;4,13E-05;4,05E-05;4,08E-05;3,99E-05;3,99E-05
7901;4,53E-05;4,60E-05;4,45E-05;4,53E-05;4,43E-05;4,43E-05
7902;8,46E-05;8,09E-05;8,04E-05;4,70E-05;4,59E-05;4,59E-05
7903;2,05E-04;2,07E-04;2,09E-04;6,49E-05;6,33E-05;6,33E-05
7904;1,92E-04;2,08E-04;2,00E-04;1,11E-04;1,10E-04;1,10E-04
7905;1,27E-04;1,33E-04;1,25E-04;1,65E-04;1,65E-04;1,65E-04
7906;1,05E-04;1,06E-04;9,88E-05;2,03E-04;1,96E-04;1,96E-04
7907;1,08E-04;1,05E-04;9,92E-05;1,74E-04;1,70E-04;1,70E-04
7908;1,01E-04;1,01E-04;1,03E-04;1,22E-04;1,28E-04;1,28E-04
7909;9,78E-05;9,67E-05;1,00E-04;1,22E-04;1,28E-04;1,28E-04
7910;1,13E-04;1,21E-04;1,22E-04;1,82E-04;1,80E-04;1,80E-04
7911;1,36E-04;1,40E-04;1,33E-04;2,30E-04;2,28E-04;2,28E-04
7912;1,32E-04;1,41E-04;1,34E-04;2,12E-04;2,09E-04;2,09E-04
7913;1,01E-04;1,05E-04;9,97E-05;1,32E-04;1,38E-04;1,38E-04
7914;1,13E-04;1,12E-04;1,11E-04;1,37E-04;1,42E-04;1,42E-04
7915;2,20E-04;2,28E-04;2,25E-04;2,06E-04;2,14E-04;2,14E-04
7916;2,94E-04;2,83E-04;2,86E-04;2,21E-04;2,42E-04;2,42E-04
7917;2,43E-04;2,28E-04;2,32E-04;1,81E-04;1,89E-04;1,89E-04
7918;2,00E-04;1,98E-04;2,01E-04;1,57E-04;1,54E-04;1,54E-04
7919;1,74E-04;1,78E-04;1,73E-04;1,51E-04;1,51E-04;1,51E-04
7920;3,75E-05;3,75E-05;3,76E-05;3,81E-05;3,80E-05;3,80E-05
7921;3,82E-05;3,85E-05;3,87E-05;3,93E-05;3,85E-05;3,85E-05
7922;3,97E-05;4,04E-05;3,97E-05;3,99E-05;3,99E-05;3,99E-05
