year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;inverse_c_rate;loss_rate;balanced;initial_storage_level
2025;714,2105265;1;40;1;0,95;10;0,002094;1;0,5
2030;682,5;1;40;1;0,95;10;0,002094;1;0,5
2035;652,857143;1;40;1;0,95;10;0,002094;1;0,5
2040;625;1;40;1;0,95;10;0,002094;1;0,5
2045;596,195652;1;40;1;0,95;10;0,002094;1;0,5
2050;568,75;1;40;1;0,95;10;0,002094;1;0,5
