year;investment_costs;operating_costs;lifetime;efficiency_in;efficiency_out;inverse_c_rate;loss_rate;balanced;initial_storage_level
2025;18,2;5;20;1;0,95;800;0,001;1;0,5
2030;18,2;5;20;1;0,95;800;0,001;1;0,5
2035;18,2;5;20;1;0,95;800;0,001;1;0,5
2040;18,2;5;20;1;0,95;800;0,001;1;0,5
2045;18,2;5;20;1;0,95;800;0,001;1;0,5
2050;18,2;5;20;1;0,95;800;0,001;1;0,5
