year;investment_costs;operating_costs;lifetime;interest_rate;nonconvex_investment;non_convex_flow
2025;600000;2;25;5;false;false
2030;550000;2;25;5;false;false
2035;505000;2;25;5;false;false
2040;463000;2;25;5;false;false
2045;390000;2;25;5;false;false
2050;309000;2;25;5;false;false
