;investment_costs;operating_costs;lifetime;interest_rate;nonconvex_investment;non_convex_flow
2025;307;1,4;25;5;false;false
2030;300;1,4;25;5;false;false
2035;293;1,4;25;5;false;false
2040;285;1,4;25;5;false;false
2045;279;1,4;25;5;false;false
2050;272;1,4;25;5;false;false
