year;investment_costs;operating_costs;lifetime;interest_rate;nonconvex_investment;non_convex_flow
2025;1300000;4;40;5;false;false
2030;1300000;4;40;5;false;false
2035;1300000;4;40;5;false;false
2040;1300000;4;40;5;false;false
2045;1300000;4;40;5;false;false
2050;1300000;4;40;5;false;false
