year;investment_costs;operating_costs;lifetime;efficiency;interest_rate
2025;35000;1;20;0,95;5
2030;35000;1;20;0,95;5
2035;35000;1;20;0,95;5
2040;35000;1;20;0,95;5
2045;35000;1;20;0,95;5
2050;35000;1;20;0,95;5
