year;investment_costs;operating_costs;lifetime;interest_rate;nonconvex_investment;non_convex_flow
2025;895000;2;25;5;false;false
2030;750000;2;25;5;false;false
2035;678000;2;25;5;false;false
2040;597000;2;25;5;false;false
2045;576000;2;25;5;false;false
2050;571000;2;25;5;false;false
