year;investment_costs;operating_costs;lifetime;interest_rate
2025;861500;2;25,5;5
2030;734000;2;25,5;5
2035;660500;2;27;5
2040;597000;2;27;5
2045;576000;2;29;5
2050;560500;2;29;5
