;investment_costs;operating_costs;lifetime;interest_rate;nonconvex_investment;non_convex_flow
2025;1210000;2,5;25;5;false;false
2030;1150000;2,5;25;5;false;false
2035;1113000;2,5;25;5;false;false
2040;1075000;2,5;25;5;false;false
2045;1037000;2,5;25;5;false;false
2050;1021000;2,5;25;5;false;false
