year;investment_costs;operating_costs;lifetime;efficiency;interest_rate;nonconvex_investment;non_convex_flow
2025;740000;3;30;38,5;5;false;false
2030;682000;3;30;38,5;5;false;false
2035;644000;3;30;38,5;5;false;false
2040;596000;3;30;38,5;5;false;false
2045;548000;3;30;38,5;5;false;false
2050;500000;3;30;38,5;5;false;false
