year;investment_costs;operating_costs;lifetime;efficiency;interest_rate;nonconvex_investment;non_convex_flow
2025;80000;2;20;99;5;false;false
2030;80000;2;20;99;5;false;false
2035;80000;2;20;99;5;false;false
2040;80000;2;20;99;5;false;false
2045;80000;2;20;99;5;false;false
2050;80000;2;20;99;5;false;false
