year;investment_costs;operating_costs;lifetime;efficiency;interest_rate;nonconvex_investment;non_convex_flow
2025;885750;0,01;22,5;350;5;false;false
2030;817500;0,01;22,5;350;5;false;false
2035;804080;0,01;22,5;350;5;false;false
2040;789000;0,01;22,5;350;5;false;false
2045;755500;0,01;22,5;350;5;false;false
2050;722000;0,01;22,5;350;5;false;false
