year;investment_costs;operating_costs;lifetime;interest_rate;efficiency_el;efficiency_th
2025;2167000;5;25;5;43;50
2030;2108000;5;25;5;43;50
2035;2050000;5;25;5;43;50
2040;1992000;5;25;5;43;50
2045;1933000;5;25;5;43;50
2050;1875000;5;25;5;43;50
