year;investment_costs;operating_costs;lifetime;efficiency;interest_rate;nonconvex_investment;non_convex_flow
2025;176000;5;20;60;5;false;false
2030;176000;5;20;60;5;false;false
2035;176000;5;20;60;5;false;false
2040;176000;5;20;60;5;false;false
2045;176000;5;20;60;5;false;false
2050;176000;5;20;60;5;false;false
