year;investment_costs;operating_costs;lifetime;efficiency;interest_rate;nonconvex_investment;non_convex_flow
2025;1653000;1;20;250;5;false;false
2030;1568000;1;20;250;5;false;false
2035;1480000;1;20;250;5;false;false
2040;1392000;1;20;250;5;false;false
2045;1306000;1;20;250;5;false;false
2050;1220000;1;20;250;5;false;false
