year;investment_costs;operating_costs;lifetime;interest_rate;efficiency;nonconvex_investment;non_convex_flow
2025;2167000;5;25;5;93;false;false
2030;2108000;5;25;5;93;false;false
2035;2050000;5;25;5;93;false;false
2040;1992000;5;25;5;93;false;false
2045;1933000;5;25;5;93;false;false
2050;1875000;5;25;5;93;false;false
