year;investment_costs;operating_costs;lifetime;efficiency;interest_rate
2025;2434000;5;20;0,46;5
2030;2164000;5;20;0,46;5
2035;2001000;5;20;0,46;5
2040;1917000;5;20;0,46;5
2045;1886000;5;20;0,46;5
2050;1882000;5;20;0,46;5
