year;investment_costs;operating_costs;lifetime;efficiency;interest_rate;nonconvex_investment;non_convex_flow
2025;633000;4;25;88;5;false;false
2030;552000;4;25;88;5;false;false
2035;504000;4;25;88;5;false;false
2040;479000;4;25;88;5;false;false
2045;470000;4;25;88;5;false;false
2050;469000;4;25;88;5;false;false
