year;investment_costs;operating_costs;lifetime;efficiency_el;interest_rate;nonconvex_investment;non_convex_flow
2025;3296000;5;30;30;5;false;false
2030;3295000;5;30;30;5;false;false
2035;3294000;5;30;30;5;false;false
2040;3293000;5;30;30;5;false;false
2045;3290000;5;30;30;5;false;false
2050;3287000;5;30;30;5;false;false
