year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th;interest_rate;nonconvex_investment;non_convex_flow
2025;850000;3;30;56;40;5;false;false
2030;850000;3;30;58;40;5;false;false
2035;850000;3;30;58;40;5;false;false
2040;850000;3;30;58;40;5;false;false
2045;850000;3;30;58;40;5;false;false
2050;850000;3;30;58;40;5;false;false
