year;investment_costs;operating_costs;lifetime;efficiency;interest_rate;nonconvex_investment;non_convex_flow
2025;886000;1;20;350;5;false;false
2030;818000;1;20;350;5;false;false
2035;804000;1;20;350;5;false;false
2040;789000;1;20;350;5;false;false
2045;756000;1;20;350;5;false;false
2050;722000;1;20;350;5;false;false
