year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th;interest_rate;nonconvex_investment;non_convex_flow
2025;2500000;5,4;25;33;57;5;false;false
2030;2500000;5,4;25;33;57;5;false;false
2035;2500000;5,4;25;33;57;5;false;false
2040;2500000;5,4;25;33;57;5;false;false
2045;2500000;5,4;25;33;57;5;false;false
2050;2500000;5,4;25;33;57;5;false;false
