year;investment_costs;operating_costs;lifetime;efficiency_el;efficiency_th
2025;1533333;0,057;20;0,15;0,75
2030;1533333;0,057;20;0,15;0,75
2035;1533333;0,057;20;0,15;0,75
2040;1533333;0,057;20;0,15;0,75
2045;1533333;0,057;20;0,15;0,75
2050;1533333;0,057;20;0,15;0,75
