year;investment_costs;operating costs;lifetime;efficiency_el;efficiency_th
2025;2166666,67;9,25;27,5;0,4367;0,495
2030;2108333,33;8,34;30;0,4433;0,49
2035;2050000;8,68;30;0,45;0,485
2040;1991666,67;9,01;30;0,4567;0,48
2045;1933333,33;9,31;30;0,4633;0,475
2050;1875000;9,61;30;0,47;0,47
