year;investment_costs;operating_costs;lifetime;efficiency
2025;2434000;5;20;0,46
2030;2164000;5;20;0,46
2035;2001000;5;20;0,46
2040;1917000;5;20;0,46
2045;1886000;5;20;0,46
2050;1882000;5;20;0,46
