year;investment_costs;operating_costs;lifetime;efficiency
2025;1653000;0,013;20;2,5
2030;1567500;0,011;20;2,5
2035;1479500;0,01;20;2,5
2040;1391500;0,01;20;2,5
2045;1306000;0,01;20;2,5
2050;1220000;0,01;20;2,5
